AllWISE,RAJ2000,DEJ2000,Im,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,W4mag,e_W4mag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,ccf,ex,var,pmRA,e_pmRA,pmDE,e_pmDE,qph,d2M,2M
J125410.71+555627.5,193.5446383,55.9409952,Im,13.404,0.024,13.763,0.033,10.376,0.070,9.385,,,,,,,,HHdH,1,nn1n,236,89,-860,96,AAAU,,2M
J125402.14+555714.6,193.5089543,55.9540583,Im,6.394,0.025,5.880,0.025,7.017,0.029,4.803,0.034,,,,,,,ddHd,1,nnn8,1305,21,-1842,21,AAAA,,2M
J125356.41+555738.4,193.4850518,55.9606939,Im,10.443,0.020,10.217,0.024,9.873,0.052,8.991,,,,,,,,hHHH,1,nnnn,12789,29,10815,27,AAAU,,2M
J125407.94+555651.4,193.5330868,55.9476167,Im,12.292,0.022,12.155,0.024,9.214,0.032,9.124,,,,,,,,HHdH,1,nn6n,1883,71,96,77,AAAU,,2M
J125359.64+555736.2,193.4985212,55.9600592,Im,6.132,0.024,5.628,0.024,6.614,0.032,4.774,0.029,,,,,,,ddHH,1,nnnn,-13326,20,1779,20,AAAA,,2M
J125408.85+555644.0,193.5369117,55.9455665,Im,12.752,0.024,12.663,0.026,9.532,0.036,8.911,,,,,,,,HHdH,1,nn4n,3456,68,476,70,AAAU,,2M
J125351.15+555814.8,193.4631414,55.9707829,Im,11.730,0.022,11.919,0.022,11.630,0.306,9.024,,12.649,0.019,12.265,0.023,12.193,0.024,hhHH,1,44nn,-98,42,-50,43,AABU,0.314,2M
J125401.95+555735.4,193.5081339,55.9598359,Im,-0.539,,0.058,,1.972,0.025,1.746,0.015,1.713,0.246,1.698,0.186,1.625,0.266,hh00,0,nn40,2389,38,624,42,UUAA,2.111,2M
J125401.63+555755.5,193.5068308,55.9654436,Im,6.195,0.024,5.709,0.027,7.098,0.034,4.918,0.032,,,,,,,ddHH,1,nnnn,-224,21,5136,21,AAAA,,2M
J125353.45+555844.5,193.4727203,55.9790426,Im,12.773,0.023,13.090,0.027,10.851,0.102,9.185,,14.612,,14.052,,14.035,0.063,hHDH,1,3nnn,35,82,-298,81,AAAU,1.600,2M
J125351.99+555854.1,193.4666398,55.9816972,Im,13.801,0.026,13.711,0.034,10.508,0.096,8.393,,,,,,,,HHdH,1,nn1n,216,87,-596,92,AAAU,,2M
