AllWISE,RAJ2000,DEJ2000,Im,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,W4mag,e_W4mag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,ccf,ex,var,pmRA,e_pmRA,pmDE,e_pmDE,qph,d2M,2M
J073916.34+051205.1,114.8181007,5.2014194,Im,10.117,0.023,9.484,0.022,7.562,0.021,8.216,0.331,,,,,,,hhHH,1,nnnn,1759,43,-986,51,AAAB,,2M
J073915.97+051134.6,114.8165796,5.1929500,Im,11.560,0.022,10.918,0.022,8.087,0.025,7.790,,,,,,,,hHdH,1,nn3n,799,66,-25,70,AAAU,,2M
J073914.43+051246.2,114.8101408,5.2128479,Im,7.851,0.020,6.992,0.020,7.808,0.027,7.121,0.119,,,,,,,dDDD,1,3nnn,1156,36,-2032,39,AAAB,,2M
J073914.85+051251.2,114.8118920,5.2142486,Im,5.056,0.136,3.338,0.054,7.143,0.019,8.761,,,,,,,,ddDD,1,nnnn,-245,32,494,29,BAAU,,2M
J073920.00+051229.6,114.8333735,5.2082276,Im,7.503,0.025,3.660,0.039,7.269,0.018,6.208,0.052,,,,,,,ddHH,1,nnnn,1171,29,1394,29,AAAA,,2M
J073917.65+051320.4,114.8235610,5.2223465,Im,-1.193,,-1.487,,-0.425,0.427,-0.637,0.005,,,,,,,hh00,1,nn01,1551,109,603,127,UUCA,,2M
J073919.53+051239.2,114.8314095,5.2109141,Im,6.752,0.019,10.314,,7.379,0.020,8.970,,,,,,,,dDDD,1,nnnn,-187,41,3111,40,AUAU,,2M
J073922.56+051307.7,114.8440006,5.2188295,Im,9.592,0.022,9.099,0.021,6.848,0.019,7.734,0.260,,,,,,,hhdH,1,n4nn,-503,48,229,55,AAAB,,2M
J073925.05+051259.9,114.8543775,5.2166620,Im,10.792,0.024,10.810,0.023,7.607,0.023,8.104,,,,,,,,hhdH,1,n44n,1113,49,706,49,AAAU,,2M
J073921.09+051356.4,114.8379039,5.2323460,Im,8.168,0.019,7.084,0.018,7.856,0.024,6.836,0.090,,,,,,,ddDD,1,nnnn,1994,33,-1817,33,AAAA,,2M
J073925.69+051257.9,114.8570628,5.2160949,Im,11.236,0.026,11.052,0.022,7.835,0.023,8.398,,,,,,,,hhdH,1,n63n,3620,48,566,49,AAAU,,2M
J073924.55+051432.0,114.8522987,5.2422491,Im,9.119,0.017,10.933,0.025,8.644,0.036,7.828,0.305,,,,,,,dDdD,1,nn3n,16633,30,11049,30,AAAB,,2M
J073921.62+051401.4,114.8401113,5.2337386,Im,9.142,0.019,7.400,0.015,7.996,0.026,6.994,0.094,,,,,,,DdDD,1,nnnn,1860,35,-3006,36,AAAA,,2M
J073923.48+051303.6,114.8478606,5.2176821,Im,10.195,0.024,9.835,0.023,7.733,0.028,8.655,0.473,,,,,,,hhdH,1,n64n,933,186,-330,55,AAAC,,2M
J073920.55+051350.1,114.8356605,5.2306095,Im,7.083,0.017,6.326,0.014,7.542,0.021,9.128,,,,,,,,ddDD,1,nnnn,-967,37,-3640,48,AAAU,,2M
J073924.14+051302.5,114.8506140,5.2173785,Im,10.423,0.023,10.176,0.021,7.793,0.027,7.918,0.214,,,,,,,hhdH,1,n74n,2076,45,395,60,AAAB,,2M
J073913.45+051332.6,114.8060791,5.2257345,Im,9.604,0.026,8.878,0.024,7.172,0.023,6.989,0.129,,,,,,,hhHH,1,44nn,-10008,49,3205,48,AAAB,,2M
J073915.06+051415.4,114.8127729,5.2376368,Im,8.595,0.019,7.251,0.017,7.501,0.028,6.842,0.091,,,,,,,DdDD,1,nnnn,2329,42,1170,46,AAAA,,2M
J073912.24+051335.6,114.8010081,5.2265572,Im,10.389,0.031,9.725,0.026,7.465,0.023,7.737,0.253,,,,,,,hhdH,1,333n,-10414,54,3419,53,AAAB,,2M
J073915.81+051358.7,114.8158913,5.2329743,Im,6.378,0.022,6.043,0.020,6.800,0.019,8.927,,,,,,,,ddHD,1,nnnn,1643,26,827,34,AAAU,,2M
J073910.21+051341.2,114.7925550,5.2281130,Im,11.148,0.024,10.929,0.022,7.639,0.020,8.041,,,,,,,,hhdH,1,n44n,840,43,-222,42,AAAU,,2M
J073912.83+051334.4,114.8034925,5.2262450,Im,9.904,0.029,9.420,0.027,7.489,0.025,7.009,0.096,,,,,,,hhDH,1,n5nn,-1716,48,352,50,AAAA,,2M
J073911.61+051337.2,114.7983840,5.2270240,Im,10.478,0.027,9.997,0.023,7.526,0.022,8.569,0.527,,,,,,,hhdH,1,344n,-896,46,1548,44,AAAC,,2M
J073910.96+051338.9,114.7956699,5.2274863,Im,10.743,0.025,10.456,0.024,8.240,0.031,8.283,0.424,,,,,,,hhDH,1,n3nn,-1020,45,-18,44,AAAC,,2M
J073915.54+051405.1,114.8147644,5.2347756,Im,7.503,0.022,6.905,0.024,7.425,0.025,8.809,,,,,,,,dDDD,1,6nnn,2129,48,240,41,AAAU,,2M
J073913.00+051458.6,114.8041863,5.2496132,Im,8.910,0.015,10.789,0.022,8.589,0.030,7.879,0.227,,,,,,,dDDD,1,nnnn,820,30,1695,38,AAAB,,2M
