AllWISE,RAJ2000,DEJ2000,Im,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,W4mag,e_W4mag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,ccf,ex,var,pmRA,e_pmRA,pmDE,e_pmDE,qph,d2M,2M
J143934.77-605119.0,219.8948973,-60.8552782,Im,8.672,0.018,6.865,0.018,5.944,0.016,5.607,0.052,,,,,,,dddD,1,nnnn,-3975,29,-2200,22,AAAA,,2M
J143936.16-605143.2,219.9006753,-60.8620187,Im,8.152,0.028,9.728,0.029,6.465,0.018,6.462,0.081,,,,,,,dDdD,1,nn4n,-14102,39,14701,38,AAAA,,2M
J143933.71-605057.4,219.8904834,-60.8492892,Im,6.768,0.024,5.810,0.022,5.515,0.018,4.886,0.047,,,,,,,dddH,1,n44n,-6821,27,-371,29,AAAA,,2M
J143936.78-605153.3,219.9032638,-60.8648269,Im,7.943,0.020,10.181,0.031,6.424,0.015,6.568,0.098,,,,,,,dDdD,1,nn3n,-4276,31,-8255,35,AAAA,,2M
J143937.14-605201.6,219.9047790,-60.8671349,Im,8.332,0.028,9.887,0.033,6.531,0.017,6.662,0.094,,,,,,,dDdD,1,nn4n,-6104,38,-3171,39,AAAA,,2M
J143939.03-605151.4,219.9126261,-60.8642847,Im,8.847,0.024,8.984,0.024,8.389,0.031,7.380,0.172,10.845,,10.135,,9.648,0.040,ddDD,1,33nn,494,34,175,34,AAAB,0.301,2M
J143929.00-605143.6,219.8708575,-60.8621312,Im,9.287,0.023,8.956,0.020,8.194,0.033,6.007,0.097,,,,,,,ddDH,1,44nn,-302,35,25,40,AAAA,,2M
J143934.39-605108.8,219.8932956,-60.8524596,Im,8.149,0.020,6.483,0.019,5.879,0.018,5.372,0.046,,,,,,,dddD,1,nn3n,-8771,28,-263,32,AAAA,,2M
J143931.07-604952.9,219.8794785,-60.8313751,Im,1.020,,-0.180,,-0.797,0.402,-1.201,0.007,,,,,,,dhdd,1,nn2n,9312,39,31742,59,UUCA,,2M
J143931.26-604959.6,219.8802850,-60.8332409,Im,0.443,,0.095,,-1.484,0.392,-1.794,0.002,,,,,,,hdhh,1,nn0n,7642,26,1526,25,UUCA,,2M
J143921.80-605024.0,219.8408464,-60.8400167,Im,7.615,0.021,6.091,0.019,6.142,0.023,5.313,0.050,,,,,,,dddD,1,4n3n,-2251,28,3859,26,AAAA,,2M
J143922.98-605021.0,219.8457514,-60.8391782,Im,6.629,0.021,5.485,0.017,5.531,0.016,4.763,0.039,,,,,,,dddH,1,nnnn,-23373,24,-6513,25,AAAA,,2M
J143927.98-604903.9,219.8665926,-60.8177644,Im,6.854,0.025,5.493,0.018,5.670,0.018,4.726,0.033,,,,,,,dddH,1,nn7n,-33745,33,39894,32,AAAA,,2M
J143949.34-605101.2,219.9556035,-60.8503360,Im,10.624,0.041,10.591,0.032,7.184,0.024,8.153,0.300,,,,,,,hddH,1,993n,-998,45,-791,48,AAAB,,2M
J143947.79-605121.4,219.9491626,-60.8559538,Im,7.214,0.032,7.405,0.021,7.126,0.019,6.964,0.112,9.615,0.050,8.245,0.047,7.647,0.023,hhdH,0,022n,117,32,-117,44,AAAB,0.123,2M
J143950.84-605003.8,219.9618579,-60.8344092,Im,11.294,0.033,15.272,,12.206,,8.807,,,,,,,,hHHH,1,3nnn,1829,70,166,71,AUUU,,2M
J143942.54-604927.3,219.9272538,-60.8242606,Im,8.501,0.017,7.446,0.020,5.965,0.016,5.423,0.051,,,,,,,dddD,1,nnnn,25407,28,13815,29,AAAA,,2M
J143942.39-605039.7,219.9266418,-60.8443808,Im,9.626,0.037,9.021,0.026,5.862,0.023,6.829,0.101,,,,,,,hhdH,1,333n,5252,37,-3673,37,AAAA,,2M
J143948.26-605051.0,219.9511186,-60.8475223,Im,10.036,0.032,9.947,0.028,7.207,0.027,8.137,0.288,,,,,,,hhdH,1,663n,2727,39,3032,40,AAAB,,2M
J143950.51-605021.2,219.9604632,-60.8392228,Im,11.187,0.029,12.238,0.040,9.917,0.074,8.820,,,,,,,,hhHH,1,34nn,-4162,54,1242,59,AAAU,,2M
J143950.78-605037.9,219.9616234,-60.8438797,Im,10.462,0.029,10.555,0.032,8.630,0.071,7.944,0.241,,,,,,,hhDH,1,44nn,150,44,-161,45,AAAB,,2M
J143946.97-605055.4,219.9457451,-60.8487318,Im,10.378,0.033,10.209,0.032,6.544,0.022,7.938,0.253,,,,,,,dddH,1,993n,-1137,40,-2094,40,AAAB,,2M
J143950.55-604938.8,219.9606409,-60.8274607,Im,10.596,0.036,10.861,0.051,12.481,,8.286,,,,,,,,hhHH,1,44nn,-241,58,133,60,AAUU,,2M
J143945.70-605050.0,219.9404210,-60.8472365,Im,10.379,0.039,10.114,0.035,6.513,0.025,8.205,0.370,,,,,,,dddH,1,554n,-2089,46,118,45,AAAC,,2M
